Title,Beds,Bath,Area,Address,Type,Price(BDT)
900 Sq. Ft An Adequate Apartment For Sale Is Available In Mohammadpur Housing Ltd.,2,2,900 sqft,"Mohammadi Housing LTD., Mohammadpur, Dhaka",Apartment,3700000
Brand New Apartment Of 1975 Sq Ft Is Ready To Sale In Mohammadpur,4,3,1975 sqft,"Tajmahal Road, Mohammadpur, Dhaka",Apartment,8500000
"Smartly Priced 1350 Sq Ft Apartment, That You Should Check In Paikpara",3,3,1350 sqft,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",Apartment,3700000
"1300 Sq Ft Flat Is Up For Sale In Aftab Nagar, Sector-2",3,3,1300 sqft,"Sector 2, Block E, Aftab Nagar, Dhaka",Apartment,7100000
Nice 1200 Sq Ft Home Is Available To Sale In Mohammadpur,3,3,1200 sqft,"Mohammadi Housing LTD., Mohammadpur, Dhaka",Apartment,7600000
Affordable And Tiny Flat Of 450 Sq Ft Up For Sale In Faydabad,2,2,980 sqft,"Faydabad, Dakshin Khan, Dhaka",Apartment,2200000
"At Mohammadpur, Flat For Sale Close To Mohammadpur Shia Masjid",3,2,1100 sqft,"Mohammadi Housing LTD., Mohammadpur, Dhaka",Apartment,7400000
Find 600 Sq Ft Nice Apartment Available To Sale In Mirpur,3,2,980 sqft,"Block A, Section 12, Mirpur, Dhaka",Apartment,2600000
For Sale 1800 Square Feet Flat Is Available In Banani Near To Fusion Hunt,3,3,1800 sqft,"Banani, Dhaka",Apartment,9000000
Consider Sale This 1190 Sq Ft With 2 Bedrooms Home In Rampura Close To Makki Masjid,2,2,1190 sqft,"West Rampura, Rampura, Dhaka",Apartment,3600000
1600 Sq Ft Flat Is Ready For Sale In Bashundhara R-A,3,3,1600 sqft,"Block G, Bashundhara R-A, Dhaka",Apartment,8600000
"2 Bedroom, 2 Bathroom Apartment With A View Is Up For Sale Nearby Tara Jame Masjid",2,2,950 sqft,"Hazaribag, Dhaka",Apartment,2800000
For Saleal Purpose This Nice Semi Furnished Flat Is Now Available In Maghbazar,3,3,1800 sqft,"Maghbazar, Dhaka",Apartment,7000000
"A Desirable Flat Of 750 Square Feet Is For Sale In Mirpur, West Shewrapara",2,2,750 sqft,"West Shewrapara, Mirpur, Dhaka",Apartment,3500000
Looking For A Tasteful Full Furnished Home To Sale In Gulshan 1 ? Check This One,4,2,3200 sqft,"Gulshan 1, Gulshan, Dhaka",Apartment,40000000
2300 Sq Ft A Spacious Apartment Is Ready To Sale At Mirpur Dohs,4,3,2300 sqft,"Avenue 6, Mirpur DOHS, Mirpur, Dhaka",Apartment,5000000
An Elegant Apartment For Sale In Baridhara Near High Commission Of Malaysia,3,3,2600 sqft,"Block K, Baridhara, Dhaka",Apartment,20000000
"Start Residing In This 1700 Sq Ft, Properly Developed Flat For Sale, In Kazir Dewri, Near Apollo Shopping Centre",3,3,1700 sqft,"Kazir Dewri, Chattogram",Apartment,7100000
Apartment For Sale In Uttara - Own This Prominently Set Up Home,3,3,1400 sqft,"Sector 5, Uttara, Dhaka",Apartment,7400000
"950 Square Feet Apartment With Great Residential Properties Is For Sale In Mirpur, West Shewrapara",3,2,950 sqft,"West Shewrapara, Mirpur, Dhaka",Apartment,3400000
"Properly Constructed Flat For Sale In Uttara-10, Near First Security Islami Bank Limited",4,2,2230 sqft,"Sector 10, Uttara, Dhaka",Apartment,3600000
2280 Sq Ft Ready Flat Is Available For Sale In Bashundhara R/A,4,2,2280 sqft,"Block D, Bashundhara R-A, Dhaka",Apartment,7000000
"Nice 2197 Sq Ft Home Is Available To Sale In Uttara, Sector 7",3,3,2197 sqft,"Road No 17, Sector 7, Uttara, Dhaka",Apartment,6000000
1600 Square Feet Apartment For Sale At Mirpur-2 Nearby Orchid International School,3,3,1600 sqft,"Block C, Section 2, Mirpur, Dhaka",Apartment,8000000
1300 Sq Ft Flat For Sale In West Khulshi Near Masjid E Belal,3,3,1300 sqft,"Jalalabad Housing Society, West Khulshi, 9 No. North Pahartali Ward, Chattogram",Apartment,3700000
Comfortability All Around In This 2000 Sq. Ft Flat Which Is Up For Sale At Vip Housing Society-Khulshi .,3,3,2000 sqft,"VIP Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,8000000
